created,id,text,name,screen_name,friends,followers,favorites,location,retweets,user_description,status_count,in_reply_to,in_reply_to_name,retweeted
2017-12-10 21:18,939967550053642240,Carla #Bruni singt #ABBA bei den #sportsawards ... Was löst das aus in Zeiten von #NoBillag ?😨🧐,Yves Krebs,KrebsYves,493,427,2996,Oberwil (BL)  Schweiz,0,Betriebsökonom FH / Eidg. dipl. Web Project Manager / @grunliberalebs @glp_BL / Vizepräsident GPK / Mitglied Energie- Umweltkommission Oberwil,2247,None,None, ,False
2017-12-10 21:18,939967488405704704,"ist das wahr  @AnneWillTalk ? Ihr lügt das Publikum an, um etwas billigen talk zu überhöhten Preisen präsentieren z… https://t.co/Vv5qnVTYXo",Alex,kasparkramer,263,314,23797,Zurich  Switzerland / gab.ai,0,wer den demokratischen Diskurs scheut  hat kaum wirklich gute Argumente und sollte darum eben die Klappe halten    pro #Mohrenkopf anti-fa #Extremismus,21957,None,None, 359982860 AnneWillTalk ANNE WILL Talkshow-,False
2017-12-10 21:17,939967373880291329,@barbaraTschirre Warum dann noch mal den selben Film schauen? Verstehe ich nicht. Sie wollten neue Werbung sehen? Krass. #nobillag,Der Urs,ONE996,413,371,8504,Berner Oberland,0,Bin da und dort -- Sage dies und das -- Ob es Euch passt oder nicht .... und das passt mir nicht: http://t.co/hfdOfkzz5d Offiz. Account,13760,939619146547023872,barbaraTschirre, 1064497988 barbaraTschirre Vogulisi-,False
2017-12-10 21:17,939967372194144263,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",TW,atheist_zh,192,166,106,Zürich  Schweiz,22,"Wenn wir darauf verzichten  eine eigene Meinung zu haben, wird der Tag kommen, an dem wir keine mehr haben dürfen.",1219,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 21:15,939966919490318336,RT @UrsLeuthard: Bleiben wir doch in der NoBillag-Diskussion bei den Fakten  lieber @tagesanzeiger und lieber @gewerbeverband. 75% aller KM…,scuro,scuro75,776,153,440,,63,"cosmopolitan.  interested in geography  history, politics, ...",6088,None,None, 634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-,False
2017-12-10 21:15,939966863810940928,@FelixSchneuwly @thiaess @wahlch15 @NoBillag @FlorianSchwab Merken Sie nicht  dass nur sie allein ständig von doppelter Förderung reden?,Salva Leutenegger,salegen,446,477,2617,Zürich,0,"Medienaufmerksame  Kulturmitmischende, vertritt beruflich die Interessen der Bühnenkünstler (SBKV)",2654,939932444983164930,FelixSchneuwly, 488573993 FelixSchneuwly Felix Schneuwly-779361360727638017 thiaess Matthias Gehrig-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-376818440 FlorianSchwab Florian Schwab-,False
2017-12-10 21:14,939966618104467456,"@FelixSchneuwly @salegen @wahlch15 @NoBillag Ah  das interessiert mich jetzt. Warum genau soll man die Produktion,… https://t.co/GOkeWqU1Sr",Matthias Gehrig,thiaess,293,121,560,Urtenen-Schönbühl  Schweiz,0,Ich twittere als Privatperson  Bürger und Ökonom,1234,939784479136239616,FelixSchneuwly, 488573993 FelixSchneuwly Felix Schneuwly-207694861 salegen Salva Leutenegger-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-,False
2017-12-10 21:13,939966305045762048,Wurde der lächerliche Aufzritt von Calrla Bruni mit den Billag-Gebühren bezahlt? bye bye Billag #NoBillag #sportsawards,Marc Friedli,Lordanos85,26,3,34,,0,,4,None,None, ,False
2017-12-10 21:13,939966219825963008,RT @JayBadran: @UrsLeuthard @tagesanzeiger @gewerbeverband Hinzu kommen noch 8% die WENIGER zahlen. Unvollständig: Gastrosuisse  Hoteleries…,scuro,scuro75,776,153,440,,4,"cosmopolitan.  interested in geography  history, politics, ...",6088,None,None, 50047040 JayBadran Jacqueline Badran-634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-,False
2017-12-10 21:13,939966209755361280,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",Fritz,RockerHegner,306,342,978,Kloten  Schweiz,22,Wer Zynismus und Populismus nicht unterscheiden kann  soll mir nicht folgen. Biker 🏍 und Direktdemokrat.,1249,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 21:12,939966084689559554,@srfsport #SportsAwards .... bisschen Bankenwerbung inkl. für die Credit Suisse und eine Carla Bruni  die lieber Mo… https://t.co/8wXLH2pbGC,Politos_Honorus,Politos_politik,388,82,900,Bern,0,"The honest politos! Der ehrliche Politos!  Der 1A politische Influencer der Schweiz  hört auf mich und habt recht! :D Rise & rise again, until politics is good!",2510,939937743865548800,srfsport, 20689135 srfsport SRF Sport-,False
2017-12-10 21:12,939965997368397829,RT @UrsLeuthard: Bleiben wir doch in der NoBillag-Diskussion bei den Fakten  lieber @tagesanzeiger und lieber @gewerbeverband. 75% aller KM…,Thomas Schnorf,tschnorf,842,257,1548,Aarau  Schweiz,63,Key Account Manager @SRGSSR. Kandidat EW #Aarau. Vorstand JBDP CH. Betriebsökonomie Student FHNW. Twittert privat.,953,None,None, 634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-,False
2017-12-10 21:12,939965961628680192,@pascalkesseli @NoBillag Schon wieder ein Uni Absolvent ! In Oxford  ihre Argumente weit unter einem Uni Niveau. Wi… https://t.co/nmPwYrDLDO,Heinz Lindenmann,HeinzLindenmann,2646,840,25319,8804 Au am Zürichsee,0,"1951 geboren  seit 30.6.2011 in Frühpension Hobby Radio TV Empfang  ab Sat-Kabel, UKW Digitalradio Politik Astronomie, usw. ATHEIST",37501,939892312586571776,pascalkesseli, 240646297 pascalkesseli Pascal Kesseli-1383737941 NoBillag No Billag!-,False
2017-12-10 21:09,939965287977439237,@FelixSchneuwly @salegen @wahlch15 @NoBillag Aber nicht diese sinnlose Initiative! Wird das GA vin Comparis übernimmen? 😉,Michael Habegger,mikehabegger1,121,34,785,Thun  Schweiz,0,,778,939952398524493824,FelixSchneuwly, 488573993 FelixSchneuwly Felix Schneuwly-207694861 salegen Salva Leutenegger-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-,False
2017-12-10 21:07,939964923429433351,"RT @christofthinks: Anzahl Ärzte im Tessin: 750 Anzahl SRG-Mitarbeiter im Tessin: 1'300

Finanzierung der Ärzte im Tessin: privat
Finanzier…",Silvan Gasser,SilvanGasser,72,29,9,Basel,45,,132,None,None, 453796813 christofthinks christof_r-,False
2017-12-10 21:07,939964870086266880,@Herr_Natischer Sie schauen sicher  Ihrem Kantonskollegen Zu. #Salzgeber #nofederer #nobillag,Der Urs,ONE996,413,371,8504,Berner Oberland,0,Bin da und dort -- Sage dies und das -- Ob es Euch passt oder nicht .... und das passt mir nicht: http://t.co/hfdOfkzz5d Offiz. Account,13760,None,Herr_Natischer, 277343185 Herr_Natischer Natischer-,False
2017-12-10 21:07,939964840805912576,"RT @KarlMller13: Wer auch findet  dass 557'000.- als höchster Lohn in der @srg_d reine Abzockerei ist, der stimmt JA zu #nobillag https://t…",Silvan Gasser,SilvanGasser,72,29,9,Basel,8,,132,None,None, 904810734 KarlMller13 Karl Müller-1157329627 srg_d SRG Deutschschweiz-,False
2017-12-10 21:07,939964798967668736,RT @KarlMller13: Die Profiteure masslos durchfüttern mit Zwangsgebühren? JA zu #nobillag  falls du 107'354.- als Durchschnittslohn reine Ab…,Silvan Gasser,SilvanGasser,72,29,9,Basel,5,,132,None,None, 904810734 KarlMller13 Karl Müller-,False
2017-12-10 21:07,939964736313200640,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",Silvan Gasser,SilvanGasser,72,29,9,Basel,22,,132,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 21:06,939964658349494274,@pascalkesseli @NoBillag Woher nehmen Sie die Informationen.. https://t.co/mL4XAkQb4a,Heinz Lindenmann,HeinzLindenmann,2646,840,25319,8804 Au am Zürichsee,0,"1951 geboren  seit 30.6.2011 in Frühpension Hobby Radio TV Empfang  ab Sat-Kabel, UKW Digitalradio Politik Astronomie, usw. ATHEIST",37501,939892312586571776,pascalkesseli, 240646297 pascalkesseli Pascal Kesseli-1383737941 NoBillag No Billag!-,False
2017-12-10 21:06,939964498391322624,"Künstler verlieren ihre Stelle .. Schlimm .. #Grundeinkommen ? ..  
Aber scheinbar sind die Kulturschaffenden nicht… https://t.co/DIPkcQvEjE",Thomas Oberhäuser,ThoOb,130,171,3418,Frankfurt am Main,0,"FÜR ein Bedingungsloses Grundeinkommen  Basic Income; GEGEN Hartz4-Zwangsarbeit,  Rundfunk-Zwangsbeitrag; wichtige THEMEN sind Menschenrechte, Grundgesetz, UNO",6856,None,None, ,False
2017-12-10 21:06,939964470545276933,RT @bronzeshirt: @UrsLeuthard @tagesanzeiger @gewerbeverband Ohne Billag schliessen 3 meiner Lieblings-Radio-Sender. Nein  keine SRG-Sender…,Max B,LeSwiss,172,144,2953,Switzerland,1,Wohltätigkeit ist das Ersäufen des Rechts im Mistloch der Gnade. (Johann Heinrich Pestalozzi),11879,None,None, 59774007 bronzeshirt ICH provoziere...-634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-,False
2017-12-10 21:05,939964219629457408,@HentschelF @srfsport Easy der Einspieler ist niederschwellig als ein Nein zu nobillag zu werten 😉,ida,ffogub,1885,963,4802,,0,,26997,939963019173482497,HentschelF, 284728374 HentschelF Fabian-20689135 srfsport SRF Sport-,False
2017-12-10 21:02,939963611363069952,@LahorJakrlin @naehdrescherin Werden wir sehen. Zusätzlich aber noch dies. Kennen Sie und ist Ihnen egal?… https://t.co/rFNTrVEzOA,Peter Haslebacher,peha24,234,89,280,,0,Ehemann | Vater | IT-Techniker | Christ | ❤➗✝?,1299,939958072331718659,LahorJakrlin, 809005381 LahorJakrlin Lahor Jakrlin-49996637 naehdrescherin Zora Debrunner ✂-,False
2017-12-10 21:02,939963591326863367,RT @UrsLeuthard: Bleiben wir doch in der NoBillag-Diskussion bei den Fakten  lieber @tagesanzeiger und lieber @gewerbeverband. 75% aller KM…,Ugugu,Ugugu,2835,3690,33901,Teheran,63,curious what happens next,30435,None,None, 634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-,False
2017-12-10 21:02,939963517280706561,Ihr wählt aber nicht zum x-ten mal diesen immer abwesenden Federer? #0901 #Srf #nobillag,Der Urs,ONE996,413,371,8504,Berner Oberland,0,Bin da und dort -- Sage dies und das -- Ob es Euch passt oder nicht .... und das passt mir nicht: http://t.co/hfdOfkzz5d Offiz. Account,13760,None,None, ,False
2017-12-10 21:01,939963416638353408,"in humanistischen kreisen gelten tv konsumenten als mental retardiert 🙂 
deshalb  ja zu #nobillag",Böser Bube,boeserbube_com,37,49,137,schweiz,0,"libertär  eigensinnig, neugierig, individualistisch; mag leute mit niveau, talent und humor",1793,None,None, ,False
2017-12-10 21:00,939963111393644551,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",Geram,Geram_C,165,182,344,,22,Die Gesellschaft setzt sich aus nur zwei großen  Klassen zusammen: die einen haben mehr Mahlzeiten als Appetit  die  anderen weit mehr Appetit als Mahlzeiten.,474,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 20:55,939961824472117248,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",(((Friedrich))),friedri_ch,144,206,336,Zürich  Schweiz,22,Ich bin dann mal da. https://t.co/cUACUHaNmN,1164,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 20:55,939961824233050112,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",privat unterwegs🤫,privatisieren,143,104,56,Schweiz,22,Dieses und jenes.,484,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 20:55,939961700136218625,@juergvollmer @shoksuno @pascalkesseli @NoBillag @SRGSSR zu ihrer info: ich bin auch nicht bereit 600.- für eine regionalzeitung zu zahlen,Christoph Burkart,info_burkart,490,85,110,Zürich  Schweiz,0,"oekonom  digital immigrant, digital marketing & communication, polysportsfreak, 🇿🇦-liebhaber, online marketing & communication #HSLU",187,939887692581662720,juergvollmer, 592470968 juergvollmer Jürg Vollmer-976677866 shoksuno Shoks-240646297 pascalkesseli Pascal Kesseli-1383737941 NoBillag No Billag!-1871613643 SRGSSR SRG SSR-,False
2017-12-10 20:53,939961201970286592,RT @MaurusZeier: Ehemaliger Nationalratspräsident und @CVP_PDC @cvpluzern Nationalrat Ruedi Lustenberger unterstützt @NoBillag. @LuzernerZe…,Patrick Eugster,Patrick_Eugster,771,664,1924,Zurich,27,Nein zu Zwang  Ja zu Freiheit. Vorstand @JFZH. Gemeinderat (Sozialvorstand) in Waltalingen. Doktorand in Banking & Finance an der Uni Zürich.,1127,None,None, 131777731 MaurusZeier Maurus Zeier-172375021 CVP_PDC CVP PDC PPD PCD-9569812 cvpluzern CVP Kanton Luzern-1383737941 NoBillag No Billag!-,False
2017-12-10 20:50,939960624980873216,"RT @David_Stampfli: Da weiss man echt nicht mehr  ob man lachen oder weinen soll...  #NEINzuNoBillag #NEINzuNoSRG #NoBillag
via @RuediWidme…",Peter Voegele,Voegizug,78,25,913,Zug,8,,1054,None,None, 115449079 David_Stampfli David Stampfli-,False
2017-12-10 20:49,939960408093413376,RT @MaurusZeier: Ehemaliger Nationalratspräsident und @CVP_PDC @cvpluzern Nationalrat Ruedi Lustenberger unterstützt @NoBillag. @LuzernerZe…,Hayek Club Zürich,HayekClubZH,1330,1362,4582,Zürich,27,Für die Freiheit  der Freiheit willen,2988,None,None, 131777731 MaurusZeier Maurus Zeier-172375021 CVP_PDC CVP PDC PPD PCD-9569812 cvpluzern CVP Kanton Luzern-1383737941 NoBillag No Billag!-,False
2017-12-10 20:48,939960089863221248,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",Toni Halter,halter_toni,103,113,51,Zug  Schweiz,22,"#Wasser  #Skifahren, CH-#Politik",479,None,None, 240646297 pascalkesseli Pascal Kesseli-,False
2017-12-10 20:48,939959998368579584,"Einige gute Sparideen. Bloss  bei NoBillag geht es nicht um hier ein bisschen mehr oder da etwas weniger, sondern u… https://t.co/3HIoiKcYYT",Klaus Bonanomi,KlausBonanomi,95,557,398,Bern,0,Wirtschaftsredaktor Radio SRF  Spezialist für Medienthemen.  Stiftungsrat Schweizerischer Presserat.,1468,None,None, ,False
2017-12-10 20:47,939959782601035776,@knallfrog Das einfache Gemüt empfiehlt #Schulfernsehen  statt Krimiserien! Dann klappt es auch mit den Kommas (Kom… https://t.co/nAWnZJIl3m,Pão de Queijo,YvesBaur,128,14,284,am Zürichsee,0,"Ja  Politisch unkorrekt 
bildungsfern, #desorientiert und übermotiviert, #links-konservativ,
Ab18,global denkend,
Gassensprache, #MotherofVergleiche",273,939932553791901696,knallfrog, 25519764 knallfrog Urs Brönnimann-,False
2017-12-10 20:44,939959101513138176,@LahorJakrlin Schwachsinn! Wir wollen weder im öffentlichen Verkehr  noch in der Telekommunikation und schon gar ni… https://t.co/GCjj547yLA,Marc Oliver Bürgi,MarcBuergi,1919,983,4556,Basel-Land  Schweiz,0,"#Chemiker  #Unternehmer, #Politiker. Kämpfe für ein starkes Verhältnis zwischen Wirtschaft, Politik und Gesellschaft. Präsident BDP BL",10621,939915053171691522,LahorJakrlin, 809005381 LahorJakrlin Lahor Jakrlin-,False
