Source,Target,in_reply_to_statusID,tweet_ID,text,isRetweet,retweet_count,followers_count,friends_count,mentioned_users
Der Urs,barbaraTschirre,939619146547023872,939967373880291329,@barbaraTschirre Warum dann noch mal den selben Film schauen? Verstehe ich nicht. Sie wollten neue Werbung sehen? Krass. #nobillag,False,0,371,413, 1064497988 barbaraTschirre Vogulisi-
TW,@pascalkesseli,None,939967372194144263,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",True,22,166,192, 240646297 pascalkesseli Pascal Kesseli-
scuro,@UrsLeuthard,None,939966919490318336,RT @UrsLeuthard: Bleiben wir doch in der NoBillag-Diskussion bei den Fakten  lieber @tagesanzeiger und lieber @gewerbeverband. 75% aller KM…,True,63,153,776, 634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-
Salva Leutenegger,FelixSchneuwly,939932444983164930,939966863810940928,@FelixSchneuwly @thiaess @wahlch15 @NoBillag @FlorianSchwab Merken Sie nicht  dass nur sie allein ständig von doppelter Förderung reden?,False,0,477,446, 488573993 FelixSchneuwly Felix Schneuwly-779361360727638017 thiaess Matthias Gehrig-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-376818440 FlorianSchwab Florian Schwab-
Matthias Gehrig,FelixSchneuwly,939784479136239616,939966618104467456,"@FelixSchneuwly @salegen @wahlch15 @NoBillag Ah  das interessiert mich jetzt. Warum genau soll man die Produktion,… https://t.co/GOkeWqU1Sr",False,0,121,293, 488573993 FelixSchneuwly Felix Schneuwly-207694861 salegen Salva Leutenegger-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-
scuro,@JayBadran,None,939966219825963008,RT @JayBadran: @UrsLeuthard @tagesanzeiger @gewerbeverband Hinzu kommen noch 8% die WENIGER zahlen. Unvollständig: Gastrosuisse  Hoteleries…,True,4,153,776, 50047040 JayBadran Jacqueline Badran-634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-
Fritz,@pascalkesseli,None,939966209755361280,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",True,22,342,306, 240646297 pascalkesseli Pascal Kesseli-
Politos_Honorus,srfsport,939937743865548800,939966084689559554,@srfsport #SportsAwards .... bisschen Bankenwerbung inkl. für die Credit Suisse und eine Carla Bruni  die lieber Mo… https://t.co/8wXLH2pbGC,False,0,82,388, 20689135 srfsport SRF Sport-
Thomas Schnorf,@UrsLeuthard,None,939965997368397829,RT @UrsLeuthard: Bleiben wir doch in der NoBillag-Diskussion bei den Fakten  lieber @tagesanzeiger und lieber @gewerbeverband. 75% aller KM…,True,63,257,842, 634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-
Heinz Lindenmann,pascalkesseli,939892312586571776,939965961628680192,@pascalkesseli @NoBillag Schon wieder ein Uni Absolvent ! In Oxford  ihre Argumente weit unter einem Uni Niveau. Wi… https://t.co/nmPwYrDLDO,False,0,840,2646, 240646297 pascalkesseli Pascal Kesseli-1383737941 NoBillag No Billag!-
Michael Habegger,FelixSchneuwly,939952398524493824,939965287977439237,@FelixSchneuwly @salegen @wahlch15 @NoBillag Aber nicht diese sinnlose Initiative! Wird das GA vin Comparis übernimmen? 😉,False,0,34,121, 488573993 FelixSchneuwly Felix Schneuwly-207694861 salegen Salva Leutenegger-2703077037 wahlch15 Wahlen&Abstimmungen-1383737941 NoBillag No Billag!-
Silvan Gasser,@christofthinks,None,939964923429433351,"RT @christofthinks: Anzahl Ärzte im Tessin: 750 Anzahl SRG-Mitarbeiter im Tessin: 1'300

Finanzierung der Ärzte im Tessin: privat
Finanzier…",True,45,29,72, 453796813 christofthinks christof_r-
Der Urs,Herr_Natischer,None,939964870086266880,@Herr_Natischer Sie schauen sicher  Ihrem Kantonskollegen Zu. #Salzgeber #nofederer #nobillag,False,0,371,413, 277343185 Herr_Natischer Natischer-
Silvan Gasser,@KarlMller13,None,939964840805912576,"RT @KarlMller13: Wer auch findet  dass 557'000.- als höchster Lohn in der @srg_d reine Abzockerei ist, der stimmt JA zu #nobillag https://t…",True,8,29,72, 904810734 KarlMller13 Karl Müller-1157329627 srg_d SRG Deutschschweiz-
Silvan Gasser,@KarlMller13,None,939964798967668736,RT @KarlMller13: Die Profiteure masslos durchfüttern mit Zwangsgebühren? JA zu #nobillag  falls du 107'354.- als Durchschnittslohn reine Ab…,True,5,29,72, 904810734 KarlMller13 Karl Müller-
Silvan Gasser,@pascalkesseli,None,939964736313200640,"RT @pascalkesseli: Wer sagt  ohne SRF-Zwangsabo könnten Schweizer nicht informiert abstimmen, hat eine unrealistisch hohe Meinung vom SRF u…",True,22,29,72, 240646297 pascalkesseli Pascal Kesseli-
Heinz Lindenmann,pascalkesseli,939892312586571776,939964658349494274,@pascalkesseli @NoBillag Woher nehmen Sie die Informationen.. https://t.co/mL4XAkQb4a,False,0,840,2646, 240646297 pascalkesseli Pascal Kesseli-1383737941 NoBillag No Billag!-
Max B,@bronzeshirt,None,939964470545276933,RT @bronzeshirt: @UrsLeuthard @tagesanzeiger @gewerbeverband Ohne Billag schliessen 3 meiner Lieblings-Radio-Sender. Nein  keine SRG-Sender…,True,1,144,172, 59774007 bronzeshirt ICH provoziere...-634577560 UrsLeuthard Urs Leuthard-202985146 tagesanzeiger Tages-Anzeiger-262715220 gewerbeverband sgv-usam-
ida,HentschelF,939963019173482497,939964219629457408,@HentschelF @srfsport Easy der Einspieler ist niederschwellig als ein Nein zu nobillag zu werten 😉,False,0,963,1885, 284728374 HentschelF Fabian-20689135 srfsport SRF Sport-
